indice_interno,base,clase,archivo,distribucion,representacion,numero_capas,error_final,forma_h_final,segundos_extraccion_deep,capa_1_rango,capa_1_error,capa_1_ortogonalidad_h,capa_1_segundos,capa_2_rango,capa_2_error,capa_2_ortogonalidad_h,capa_2_segundos
343,SNR_-8db,AS,New_AS_144.wav,28-10,DeepONMF_H2,2,0.41158402058325927,10x212,0.019391600042581558,28,0.3158526236241269,0.28282784294971347,0.01502779999282211,10,0.5841791469577966,0.21470425037658775,0.0035940000088885427
344,SNR_-8db,AS,New_AS_145.wav,28-10,DeepONMF_H2,2,0.40961854114047225,10x212,0.019880499923601747,28,0.318856449842119,0.2686849223463339,0.015654999995604157,10,0.580408543265887,0.23100076545382653,0.00357509998138994
345,SNR_-8db,AS,New_AS_146.wav,28-10,DeepONMF_H2,2,0.31628570573745485,10x212,0.021812599967233837,28,0.24899352555991708,0.30087775794189875,0.017103299964219332,10,0.5307803980747232,0.19665224973933917,0.0035964000271633267
346,SNR_-8db,AS,New_AS_147.wav,28-10,DeepONMF_H2,2,0.4165183442205757,10x212,0.019998100004158914,28,0.3218518845206361,0.2854763993955846,0.014954300015233457,10,0.559872398186814,0.2224160437261876,0.004198200069367886
347,SNR_-8db,AS,New_AS_148.wav,28-10,DeepONMF_H2,2,0.4128575784526476,10x212,0.018981700064614415,28,0.3165760381638774,0.2736505462675675,0.014367199968546629,10,0.5760830606517461,0.21537943743911458,0.0037808999186381698
348,SNR_-8db,AS,New_AS_149.wav,28-10,DeepONMF_H2,2,0.40776094186514517,10x212,0.01902969996444881,28,0.31648996930389617,0.286865969729161,0.014370500110089779,10,0.5635229804085219,0.24674791315133876,0.003726299968548119
349,SNR_-8db,AS,New_AS_150.wav,28-10,DeepONMF_H2,2,0.31270455939627556,10x212,0.02234229992609471,28,0.2508409055544408,0.29783067156785836,0.01723560004029423,10,0.5272398463097265,0.20953814114750868,0.004187699989415705
350,SNR_-8db,AS,New_AS_151.wav,28-10,DeepONMF_H2,2,0.41153976544857157,10x212,0.019430799991823733,28,0.3201962641896916,0.2749302409607614,0.014729900052770972,10,0.5719778281313261,0.2447467948884754,0.003597700037062168
351,SNR_-8db,AS,New_AS_152.wav,28-10,DeepONMF_H2,2,0.31841059425133167,10x212,0.01931150001473725,28,0.2484831127990544,0.31865615020522725,0.014055300038307905,10,0.5376307515114572,0.2334051402626715,0.004407400032505393
352,SNR_-8db,AS,New_AS_153.wav,28-10,DeepONMF_H2,2,0.31609576644025583,10x212,0.017294199904426932,28,0.250227657145553,0.31799775321772095,0.01250009995419532,10,0.5610106583159437,0.22075596061675348,0.00408909993711859
